n, m, d, sequential_time, parallel_time, speedup
10,10,5,0.00,0.02,0.00x
100,10,5,0.00,0.02,0.00x
1000,50,25,0.00,0.02,0.00x
10000,50,25,0.00,0.02,0.00x
10000,50,25,0.00,0.00,NaNx
10000,50,25,0.02,0.02,1.00x
10000,85,-65,0.00,0.02,0.00x
10000,85,-65,0.00,0.00,NaNx
10000,85,-65,0.00,0.02,0.00x
10000,85,-65,0.00,0.00,NaNx
100000,85,-65,0.02,0.02,0.94x
100000,85,-65,0.02,0.00,Infinityx
100000,85,-65,0.02,0.00,Infinityx
1000000,90,-85,0.05,0.05,0.98x
1000000,90,-85,0.03,0.05,0.66x
10000000,90,-85,0.28,0.16,1.81x
10000000,90,-85,0.30,0.17,1.72x
10000000,90,-85,0.30,0.14,2.10x
100000000,90,-85,2.34,1.08,2.17x
100000000,90,-85,2.34,1.08,2.17x
1000000000,99,-99,23.65,10.56,2.24x
1000000000,99,-99,23.62,10.59,2.23x
1000000000,99,-99,23.81,10.58,2.25x
